Alpha_gain,Alpha_loss,Beta,Choice,Decay,Stim_Sequence,Subject,Trial,Trustee_Response
0.0,0.0,4,2,0.2,1,8,38.0,0
0.0,0.0,4,1,0.2,1,8,39.0,1
0.0,0.0,4,3,0.2,2,8,40.0,0
0.0,0.0,4,4,0.2,0,8,41.0,1
0.0,0.0,4,2,0.2,0,8,42.0,1
0.0,0.0,4,2,0.2,1,8,43.0,1
0.0,0.0,4,4,0.2,1,8,44.0,0
0.0,0.0,4,4,0.2,0,8,45.0,1
0.0,0.0,4,1,0.4,2,9,1.0,0
0.0,0.0,4,3,0.4,0,9,2.0,1
0.0,0.0,4,1,0.4,2,9,3.0,0
0.0,0.0,4,3,0.4,2,9,4.0,1
0.0,0.0,4,2,0.4,0,9,5.0,1
0.0,0.0,4,2,0.4,1,9,6.0,1
0.0,0.0,4,3,0.4,1,9,7.0,0
0.0,0.0,4,3,0.4,0,9,8.0,1
0.0,0.0,4,4,0.4,2,9,9.0,0
0.0,0.0,4,1,0.4,2,9,10.0,0
0.0,0.0,4,2,0.4,1,9,11.0,1
0.0,0.0,4,1,0.4,2,9,12.0,0
0.0,0.0,4,4,0.4,0,9,13.0,1
0.0,0.0,4,3,0.4,2,9,14.0,0
0.0,0.0,4,3,0.4,0,9,15.0,1
0.0,0.0,4,4,0.4,2,9,16.0,0
0.0,0.0,4,4,0.4,1,9,17.0,1
0.0,0.0,4,3,0.4,2,9,18.0,0
0.0,0.0,4,3,0.4,0,9,19.0,1
0.0,0.0,4,2,0.4,1,9,20.0,0
0.0,0.0,4,4,0.4,0,9,21.0,1
0.0,0.0,4,1,0.4,1,9,22.0,0
0.0,0.0,4,4,0.4,2,9,23.0,0
0.0,0.0,4,4,0.4,0,9,24.0,1
0.0,0.0,4,2,0.4,1,9,25.0,1
0.0,0.0,4,2,0.4,1,9,26.0,1
0.0,0.0,4,1,0.4,0,9,27.0,1
0.0,0.0,4,2,0.4,2,9,28.0,0
0.0,0.0,4,2,0.4,1,9,29.0,0
0.0,0.0,4,1,0.4,0,9,30.0,0
0.0,0.0,4,2,0.4,1,9,31.0,0
0.0,0.0,4,4,0.4,1,9,32.0,1
0.0,0.0,4,1,0.4,2,9,33.0,0
0.0,0.0,4,1,0.4,1,9,34.0,0
0.0,0.0,4,3,0.4,1,9,35.0,0
0.0,0.0,4,3,0.4,1,9,36.0,0
0.0,0.0,4,3,0.4,1,9,37.0,1
0.0,0.0,4,4,0.4,2,9,38.0,0
0.0,0.0,4,3,0.4,2,9,39.0,0
0.0,0.0,4,1,0.4,0,9,40.0,1
0.0,0.0,4,3,0.4,0,9,41.0,1
0.0,0.0,4,2,0.4,0,9,42.0,1
0.0,0.0,4,2,0.4,2,9,43.0,0
0.0,0.0,4,3,0.4,0,9,44.0,1
0.0,0.0,4,2,0.4,0,9,45.0,1
0.0,0.0,4,1,0.6,2,10,1.0,0
0.0,0.0,4,2,0.6,0,10,2.0,1
0.0,0.0,4,2,0.6,2,10,3.0,0
0.0,0.0,4,2,0.6,0,10,4.0,1
0.0,0.0,4,4,0.6,0,10,5.0,1
0.0,0.0,4,4,0.6,1,10,6.0,0
0.0,0.0,4,1,0.6,0,10,7.0,1
0.0,0.0,4,3,0.6,0,10,8.0,1
0.0,0.0,4,1,0.6,1,10,9.0,1
0.0,0.0,4,1,0.6,1,10,10.0,1
0.0,0.0,4,2,0.6,1,10,11.0,1
0.0,0.0,4,2,0.6,0,10,12.0,1
0.0,0.0,4,4,0.6,2,10,13.0,0
0.0,0.0,4,2,0.6,0,10,14.0,0
0.0,0.0,4,1,0.6,2,10,15.0,0
0.0,0.0,4,3,0.6,0,10,16.0,0
0.0,0.0,4,2,0.6,1,10,17.0,0
0.0,0.0,4,3,0.6,1,10,18.0,1
0.0,0.0,4,4,0.6,0,10,19.0,1
0.0,0.0,4,1,0.6,1,10,20.0,1
0.0,0.0,4,3,0.6,1,10,21.0,1
0.0,0.0,4,3,0.6,1,10,22.0,0
