Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
16,2,1,0,141,0.0,2,0.3
17,0,1,1,141,0.0,2,0.3
18,0,4,1,141,0.0,2,0.3
19,2,1,0,141,0.0,2,0.3
20,2,3,0,141,0.0,2,0.3
21,2,3,0,141,0.0,2,0.3
22,0,4,1,141,0.0,2,0.3
23,1,2,0,141,0.0,2,0.3
24,2,3,0,141,0.0,2,0.3
25,0,3,1,141,0.0,2,0.3
26,1,2,1,141,0.0,2,0.3
27,1,4,1,141,0.0,2,0.3
28,0,2,1,141,0.0,2,0.3
29,1,1,1,141,0.0,2,0.3
30,0,2,1,141,0.0,2,0.3
31,2,4,0,141,0.0,2,0.3
32,2,4,0,141,0.0,2,0.3
33,1,4,1,141,0.0,2,0.3
34,2,2,0,141,0.0,2,0.3
35,0,3,1,141,0.0,2,0.3
36,0,2,1,141,0.0,2,0.3
37,0,1,1,141,0.0,2,0.3
38,2,2,0,141,0.0,2,0.3
39,1,3,1,141,0.0,2,0.3
40,1,2,1,141,0.0,2,0.3
41,2,1,0,141,0.0,2,0.3
42,0,4,0,141,0.0,2,0.3
43,1,1,1,141,0.0,2,0.3
44,1,3,1,141,0.0,2,0.3
45,1,4,0,141,0.0,2,0.3
1,0,3,1,151,0.0,2,0.4
2,2,2,0,151,0.0,2,0.4
3,2,3,0,151,0.0,2,0.4
4,1,2,1,151,0.0,2,0.4
5,0,1,1,151,0.0,2,0.4
6,1,1,1,151,0.0,2,0.4
7,0,4,1,151,0.0,2,0.4
8,2,3,0,151,0.0,2,0.4
9,2,1,0,151,0.0,2,0.4
10,1,1,0,151,0.0,2,0.4
11,1,3,0,151,0.0,2,0.4
12,2,1,0,151,0.0,2,0.4
13,1,4,1,151,0.0,2,0.4
14,0,2,1,151,0.0,2,0.4
