Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Beta
29,0,4,1,21,0
30,1,2,0,21,0
31,1,2,1,21,0
32,2,1,0,21,0
33,1,3,1,21,0
34,2,3,0,21,0
35,0,4,1,21,0
36,2,1,0,21,0
37,2,1,0,21,0
38,1,2,0,21,0
39,0,3,0,21,0
40,0,4,1,21,0
41,0,3,1,21,0
42,0,1,1,21,0
43,2,1,0,21,0
44,1,2,0,21,0
45,2,1,0,21,0
1,0,4,1,22,0
2,0,1,1,22,0
3,2,1,0,22,0
4,2,2,0,22,0
5,1,3,1,22,0
6,2,1,0,22,0
7,1,1,1,22,0
8,2,1,0,22,0
9,0,1,1,22,0
10,1,4,0,22,0
11,1,4,1,22,0
12,2,2,0,22,0
13,2,3,1,22,0
14,1,1,1,22,0
15,2,4,0,22,0
16,0,4,1,22,0
17,0,4,1,22,0
18,2,3,0,22,0
19,1,3,0,22,0
20,2,2,0,22,0
21,1,2,1,22,0
22,1,3,1,22,0
23,2,1,0,22,0
24,0,1,1,22,0
25,0,2,1,22,0
26,0,4,1,22,0
27,0,2,1,22,0
28,0,1,1,22,0
29,2,4,1,22,0
30,0,4,0,22,0
31,1,3,1,22,0
32,1,2,0,22,0
33,2,4,0,22,0
34,1,2,0,22,0
35,0,3,0,22,0
36,2,1,0,22,0
37,0,3,1,22,0
38,2,2,0,22,0
39,1,2,1,22,0
40,2,4,0,22,0
41,1,4,1,22,0
42,1,1,0,22,0
43,0,4,1,22,0
44,0,2,1,22,0
45,1,4,0,22,0
1,1,2,1,23,0
2,0,1,1,23,0
3,2,3,0,23,0
4,1,4,1,23,0
5,2,4,0,23,0
6,1,4,1,23,0
7,1,1,1,23,0
8,1,2,1,23,0
9,2,3,0,23,0
10,1,4,1,23,0
11,2,2,0,23,0
12,0,4,1,23,0
13,0,3,1,23,0
14,2,3,0,23,0
15,0,4,1,23,0
16,1,3,0,23,0
17,0,4,1,23,0
18,1,1,1,23,0
19,0,1,1,23,0
20,1,1,0,23,0
21,0,1,1,23,0
22,2,3,0,23,0
23,0,1,1,23,0
24,2,4,0,23,0
25,2,3,0,23,0
26,0,1,1,23,0
27,2,4,0,23,0
28,1,3,0,23,0
29,1,1,1,23,0
30,2,2,0,23,0
31,0,2,1,23,0
32,0,4,1,23,0
33,0,4,1,23,0
34,1,3,0,23,0
35,0,3,1,23,0
36,2,1,0,23,0
37,0,2,1,23,0
38,2,1,0,23,0
39,1,1,1,23,0
40,2,2,0,23,0
41,1,4,1,23,0
42,2,2,1,23,0
43,2,1,0,23,0
44,1,3,1,23,0
45,0,2,1,23,0
1,1,2,0,24,0
2,0,3,1,24,0
3,1,1,0,24,0
4,2,4,0,24,0
5,0,3,1,24,0
6,0,4,1,24,0
7,2,4,0,24,0
8,1,4,1,24,0
9,0,2,1,24,0
10,0,3,1,24,0
11,1,1,0,24,0
12,1,1,1,24,0
13,1,3,0,24,0
14,1,1,0,24,0
15,1,1,1,24,0
16,0,4,1,24,0
17,1,1,1,24,0
18,1,3,0,24,0
19,2,4,0,24,0
20,0,4,1,24,0
21,0,3,1,24,0
22,1,1,0,24,0
23,2,4,0,24,0
24,2,4,0,24,0
25,0,3,1,24,0
26,0,4,1,24,0
27,2,1,0,24,0
28,0,2,1,24,0
29,2,4,0,24,0
30,0,1,1,24,0
31,1,4,1,24,0
32,2,2,0,24,0
33,1,3,0,24,0
34,0,2,1,24,0
35,2,2,0,24,0
36,1,1,0,24,0
37,0,3,1,24,0
38,2,1,0,24,0
39,1,2,1,24,0
40,2,1,0,24,0
41,0,2,1,24,0
42,2,1,0,24,0
43,2,1,0,24,0
44,2,2,0,24,0
45,2,3,0,24,0
