Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta
26,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
27,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
28,1,2,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
29,1,4,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
30,1,1,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
31,1,2,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
32,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
33,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
34,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
35,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
36,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
37,0,2,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
38,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
39,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
40,0,3,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
41,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
42,1,1,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
43,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
44,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
45,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
1,1,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
2,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
3,1,4,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
4,0,2,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
5,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
6,1,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
7,1,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
8,2,2,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
9,1,2,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
10,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
11,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
12,0,2,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
13,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
14,0,4,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
15,1,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
16,0,4,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
17,1,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
18,2,3,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
19,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
20,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
21,0,2,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
22,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
23,0,3,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
24,1,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
25,1,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
26,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
27,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
28,1,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
29,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
30,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
31,0,3,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
32,1,3,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
33,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
34,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
35,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
36,1,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
37,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
38,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
39,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
40,1,2,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
41,1,2,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
42,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
43,0,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
44,1,1,1,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
45,2,1,0,sub-2001_10,0.0213659209282513,0.105238397485747,4.05371228655361
1,2,3,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
2,0,3,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
3,1,1,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
4,2,1,0,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
5,1,4,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
6,0,1,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
7,2,3,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
8,2,4,0,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
9,0,1,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
10,1,2,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
11,2,1,0,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
12,1,1,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
13,0,1,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
14,0,4,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
15,0,4,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
16,0,4,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
17,2,2,0,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
18,0,3,1,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
19,2,1,0,sub-2002_1,1.0,0.35497011632436,0.0531836155677427
